date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2020-10-30,51,100,56,75,0,47,17,66,100
2020-11-02,0,-39,8,-58,0,24,-17,-66,-16
2020-11-03,-1,-61,-43,-17,100,100,0,0,2
2020-11-04,-50,0,-21,0,-100,-171,0,0,-86
2020-11-05,0,0,100,0,100,0,0,2,100
2020-11-06,37,0,68,100,-100,0,27,-2,-100
2020-11-09,-37,0,-168,-100,0,0,-27,0,0
2020-11-10,0,0,0,0,0,0,0,0,7
2020-11-11,85,63,100,91,38,0,26,100,44
2020-11-12,100,62,-100,-82,-38,0,-26,-95,3
2020-11-13,32,59,100,57,0,100,18,48,100
2020-11-16,100,2,-100,22,98,-22,-18,-40,-41
2020-11-17,-100,-39,0,-72,100,-78,0,100,-25
2020-11-18,-18,60,0,-16,-100,0,0,-14,47
2020-11-19,-42,-29,0,29,100,100,62,-88,-40
2020-11-20,100,-39,0,-29,-99,-57,-38,100,-7
2020-11-23,5,80,84,0,-99,-43,100,14,43
2020-11-24,100,-43,100,0,100,0,100,-40,7
2020-11-25,57,13,-100,43,12,79,-100,43,-100
2020-11-27,68,33,60,-43,-9,-79,-53,15,-38
2020-11-30,34,26,-45,29,100,100,48,-26,0
2020-12-01,-100,100,-47,-29,-100,-100,100,-39,0
2020-12-02,100,-2,46,41,44,12,100,-78,0
2020-12-03,100,100,-98,-41,-14,48,-35,73,69
2020-12-04,47,68,0,66,43,6,-17,35,22
2020-12-07,30,51,100,-48,100,-66,38,-100,100
2020-12-08,-71,-62,15,35,35,0,100,-8,-100
2020-12-09,-100,94,35,24,18,10,85,0,-59
2020-12-10,-99,8,-25,-4,76,100,-74,0,87
2020-12-11,-72,61,100,-70,58,-100,100,24,-100
2020-12-14,-43,-100,-100,92,-92,-10,-43,100,-9
2020-12-15,-83,-90,-100,-23,28,13,-71,-80,100
2020-12-16,-97,-73,24,55,-49,-13,-48,-44,-65
2020-12-17,-100,30,-43,100,100,0,-100,0,-45
2020-12-18,100,-100,96,-11,19,24,39,14,0
2020-12-21,31,100,-3,-80,-100,14,-100,-14,0
2020-12-22,77,-31,-21,54,-73,100,78,0,0
2020-12-23,-100,-16,44,-37,-19,35,-79,0,51
2020-12-24,-22,-100,-6,-4,96,100,12,0,-51
2020-12-28,100,68,100,-76,-99,25,-100,0,0
2020-12-29,2,9,42,-50,10,97,100,100,0
2020-12-30,-28,-17,-26,-23,100,3,100,-100,43
2020-12-31,-87,4,70,48,100,26,-35,0,61
2021-01-04,-63,100,-95,16,-100,-100,63,100,-39
2021-01-05,100,0,37,19,5,100,-4,41,0
2021-01-06,86,-3,-16,16,-63,100,-54,100,24
2021-01-07,-36,-100,14,16,31,31,64,-2,55
2021-01-08,-44,100,37,-74,-76,100,29,-60,-100
2021-01-11,-67,-48,-25,100,-8,-3,100,51,55
2021-01-12,-82,100,-68,-100,100,23,100,-21,11
2021-01-13,0,-66,-42,71,-17,-100,-100,-46,66
2021-01-14,100,42,100,-52,-50,14,34,-24,46
2021-01-15,52,-100,89,100,-100,-100,-100,-44,83
2021-01-19,46,6,28,41,-46,100,-100,67,0
2021-01-20,100,-37,2,-5,100,-100,-10,0,-18
2021-01-21,-69,-100,59,-84,51,-100,-12,100,73
2021-01-22,-38,100,72,91,32,11,-5,100,-38
2021-01-25,21,100,100,64,-38,22,100,-70,-13
2021-01-26,-100,9,62,48,-100,77,100,-50,-24
2021-01-27,100,73,-100,-11,-46,98,42,88,-32
2021-01-28,-3,60,-65,-100,100,-7,-30,-92,-92
2021-01-29,100,-71,-85,-28,82,37,-13,90,-100
